id,title,genre,description
666,Tarantella,Drama,"<Tarantella> is a romantic drama film that follows the story of a young couple, Nicky and Al, who are struggling to keep their relationship alive."
667,Space Jam,Adventure|Animation|Children's|Comedy|Fantasy,<Space Jam> is a live-action/animated sports comedy film released in 1996.
668,Barbarella,Adventure|Sci-Fi,"<Barbarella> is a science fiction film from 1968, directed by Roger Vadim and starring Jane Fonda in the title role."
669,Hostile Intentions,Action|Drama|Thriller,"<Hostile Intentions> is a thriller movie that revolves around a young woman named Nora, who is kidnapped by a group of terrorists while on a business trip to Paris."
670,They Bite,Drama,<They Bite> is a horror-comedy movie released in 1996.
671,Some Folks Call It a Sling Blade,Drama|Thriller,<Some Folks Call It a Sling Blade> is a 1993 independent film directed by George Hickenlooper and starring Billy Bob Thornton.
672,"Run of the Country, The",Drama,"<The Run of the Country> is a 1995 drama film that tells the story of a young man named Danny, who lives in a small Irish town with his father after his mother's death."
673,Alphaville,Sci-Fi,<Alphaville> is a science-fiction film directed by Jean-Luc Godard.
674,Clean Slate (Coup de Torchon),Crime,<Clean Slate (Coup de Torchon)> is a French black comedy film set in colonial French West Africa in 1938.
675,Tigrero: A Film That Was Never Made,Documentary|Drama,<Tigrero: A Film That Was Never Made> is a documentary film directed by Mika Kaurismäki that follows the journey of filmmaker Samuel Fuller as he travels to the Amazon jungle to shoot a film called <Tigrero>.
676,"Eye of Vichy, The (Oeil de Vichy, L')",Documentary,"The movie <Eye of Vichy, The (Oeil de Vichy, L') > is a documentary that delves into the propaganda films made by the Vichy government during World War II."
677,Windows,Drama,<Windows> is a psychological thriller movie released in 1980.
678,It's My Party,Drama,<It's My Party> is a drama film that follows the story of a man named Nick Stark who is diagnosed with HIV and decides to throw a party to say goodbye to his loved ones before he ends his life.
679,Country Life,Drama|Romance,<Country Life> is an Australian drama film released in 1994.
680,Operation Dumbo Drop,Action|Adventure|Comedy|War,<Operation Dumbo Drop> is a 1995 comedy-drama film that tells the story of a group of U.
681,"Promise, The (Versprechen, Das)",Romance,"<The Promise> (Versprechen, Das) is a German drama film from 1994, directed by Margarethe von Trotta."
682,Mrs. Winterbourne,Comedy|Romance,"Mrs. Winterbourne (1996) is a romantic comedy-drama film about a pregnant young woman named Connie Doyle who accidentally gets on a wrong train and ends up in the company of a wealthy couple, the Winterbournes. When the train crashes, Connie is mistaken for the Winterbourne's daughter-in-law and is taken in by the family. She falls in love with the Winterbourne's son, but her past catches up with her and threatens to ruin everything. The movie explores themes of mistaken identity, love, and family."
683,Solo,Action|Sci-Fi|Thriller,<Solo> is a science fiction film released in 1996.
684,Under the Domin Tree (Etz Hadomim Tafus),Drama,<Under the Domin Tree> is an Israeli drama film that tells the story of a Jewish family living in a small village in Palestine during the 1940s.
685,"Substitute, The",Action,<The Substitute> is a 1996 action thriller movie about a mercenary who takes the place of a high school teacher to investigate a drug ring that is terrorizing the school.
686,True Crime,Mystery|Thriller,"<True Crime> is a crime drama film released in 1995, directed by Pat Verducci."
687,Butterfly Kiss,Thriller,<Butterfly Kiss> is a British thriller film about a young woman named Eunice who is on a mission to find her lover Miriam.
688,Feeling Minnesota,Drama|Romance,<Feeling Minnesota> is a dark comedy film that follows the story of a drifter named Jjaks who returns to his hometown for his brother's wedding.
689,Delta of Venus,Drama,<Delta of Venus> is a drama film based on the erotic stories of Anaïs Nin.
690,To Cross the Rubicon,Drama,"To Cross the Rubicon delves deep into the human experience, showcasing raw emotions and powerful performances."
691,Angus,Comedy,<Angus> is a coming-of-age comedy-drama film about a high school student named Angus Bethune who is overweight and unpopular.
692,Daens,Drama,<Daens> is a Belgian historical drama film released in 1992.
693,Faces,Drama,<Faces > is a drama film directed by John Cassavetes.
694,Boys,Drama,"<Boys > is a coming-of-age drama film that follows the story of two teenage boys, John and Billy, who are best friends and have a passion for surfing."
695,The Quest,Action|Adventure,"<The Quest> is a 1996 action-adventure film directed by Jean-Claude Van Damme, who also starred in the film."
696,Cosi,Comedy,<Cosi> is a 1996 Australian comedy-drama film directed by Mark Joffe.
697,Sunset Park,Drama,"<Sunset Park> is a sports drama movie about a high school basketball coach, Phyllis Saroka, who takes on a team of underprivileged and ethnically diverse players at a Brooklyn high school."
698,Mulholland Falls,Crime|Film-Noir|Thriller,<Mulholland Falls> is a crime thriller movie set in the 1950s.
699,"Truth About Cats & Dogs, The",Comedy|Romance,<The Truth About Cats & Dogs> is a romantic comedy film about a radio host named Abby who gives love advice to her listeners.
700,Oliver & Company,Animation|Children's,<Oliver & Company> is an animated musical film produced by Walt Disney Pictures.
701,Celtic Pride,Comedy,"<Celtic Pride> is a 1996 comedy movie about two die-hard Boston Celtics fans who kidnap the star player of the opposing team, the Utah Jazz, in an attempt to ensure a victory for their beloved Celtics in the NBA Finals."
702,Flipper,Adventure|Children's,<Flipper > is a family adventure film about a boy named Sandy who is sent to spend the summer with his uncle on a remote island.
703,Captives,Drama,"<Captives > is a psychological thriller film about a young woman named Rachel, who is abducted by a man named Brian."
704,Of Love and Shadows,Drama,<Of Love and Shadows> is a drama film based on the novel of the same name by Isabel Allende.
705,Dead Man,Western,<Dead Man> is a Western film directed by Jim Jarmusch.
706,"Horseman on the Roof, The (Hussard sur le toit, Le)",Drama,<The Horseman on the Roof> is a French historical drama film set in 1832 during a cholera epidemic.
707,Switchblade Sisters,Crime,"<Switchblade Sisters> is a cult classic exploitation film about a female gang called the Dagger Debs and their leader, Lace."
708,Mouth to Mouth (Boca a boca),Comedy,<Mouth to Mouth> is a Spanish drama film released in 1995.
709,"Visitors, The (Les Visiteurs)",Comedy|Sci-Fi,"<Visitors, The (Les Visiteurs) > is a French comedy film about a medieval knight and his servant who are accidentally transported to modern-day France through a time portal."
710,Multiplicity,Comedy,The movie <Multiplicity > is a comedy about a man named Doug Kinney who is struggling to balance his busy work life and his family life.
711,Wallace & Gromit: The Best of Aardman Animation,Animation,<Wallace & Gromit: The Best of Aardman Animation > is a collection of short films created by the British animation studio Aardman Animations.
712,Halfmoon (Paul Bowles - Halbmond),Drama,<Halfmoon> is a German film from 1995 directed by Frieder Schlaich.
713,"Haunted World of Edward D. Wood Jr., The",Documentary,"The movie <Haunted World of Edward D. Wood Jr., The> is a documentary that explores the life and work of filmmaker Edward D."
714,Two Friends,Drama,<Two Friends> is a French drama film directed by Louis Malle.
715,"Craft, The",Drama|Horror,"<The Craft> is a 1996 American supernatural horror film about a group of four outcast teenage girls at a Catholic high school in Los Angeles who practice witchcraft, and their descent into moral and psychological decay."
716,"Great White Hype, The",Comedy,<The Great White Hype> is a satirical comedy film released in 1996.
717,Last Dance,Drama,<Last Dance > is a drama film about a woman named Cindy Liggett who is on death row for killing two police officers in self-defense.
718,War Stories,Documentary,War Stories is an enlightening documentary that sheds light on important and intriguing topics.
719,Cold Comfort Farm,Comedy,<Cold Comfort Farm> is a British comedy film based on the 1932 novel of the same name by Stella Gibbons.
720,"Institute Benjamenta, or This Dream People Call Human Life",Drama,"<Institute Benjamenta, or This Dream People Call Human Life> is a surrealistic and atmospheric film that follows a young man named Jakob as he enrolls in a mysterious and dilapidated boarding school called the Institute Benjamenta."
721,"Low Life, The",Drama,"<Low Life, The> is a crime thriller movie released in 1994."
722,Heaven's Prisoners,Mystery|Thriller,<Heaven's Prisoners> is a crime/mystery thriller movie based on a novel by James Lee Burke.
723,Original Gangstas,Crime,<Original Gangstas> is a 1996 action movie that tells the story of a group of former gang members who return to their hometown to fight against a new gang that has taken over the streets.
724,"Rock, The",Action|Adventure|Thriller,The movie <The Rock>  is an action thriller directed by Michael Bay.
725,Getting Away With Murder,Comedy,<Getting Away With Murder > is a crime-comedy movie about a wealthy Jewish man named Eli Wurman who is accused of murdering his elderly neighbor.
726,Cemetery Man (Dellamorte Dellamore),Comedy|Horror,"<Cemetery Man> is an Italian horror-comedy film that follows the story of Francesco Dellamorte, a cemetery caretaker who must kill the living dead that rise from their graves after seven days."
727,Twister,Action|Adventure|Romance|Thriller,<Twister> is a 1996 American disaster film directed by Jan de Bont.
728,Barb Wire,Action|Sci-Fi,"<Barb Wire> is a science fiction action movie set in the year 2017, in a post-apocalyptic America where a second civil war has broken out."
729,"Garcu, Le",Drama,"Garcu, Le delves deep into the human experience, showcasing raw emotions and powerful performances."
730,Honigmond,Comedy,<Honigmond> is a German romantic comedy film released in 1996.
731,Ghost in the Shell (Kokaku kidotai),Animation|Sci-Fi,<Ghost in the Shell> is a Japanese animated movie that takes place in a future world where humans have the ability to connect their brains directly to the internet.
732,Thinner,Horror|Thriller,<Thinner> is a horror film based on the novel by Stephen King.
733,Spy Hard,Comedy,<Spy Hard> is a comedy film that parodies the spy movie genre.
734,Brothers in Trouble,Drama,"<Brothers in Trouble> is a British drama film that follows the story of two brothers, Rashid and Mo, who are both immigrants from Pakistan living in London."
735,"Close Shave, A",Animation|Comedy|Thriller,<A Close Shave> is a 1995 stop-motion animated short film directed by Nick Park at Aardman Animations.
736,Force of Evil,Film-Noir,<Force of Evil> is a film noir that tells the story of a corrupt lawyer named Joe Morse who works for a powerful mobster in New York City.
737,"Stupids, The",Comedy,<The Stupids> is a comedy film about a family called the Stupids who believe that they are secret agents and embark on a mission to save the world from an evil plot.
738,"Arrival, The",Action|Sci-Fi|Thriller,"Arrival, The is an engaging film that offers a unique cinematic experience."
739,"Man from Down Under, The",Drama,<The Man from Down Under> is a 1943 American comedy-drama film directed by Robert Z.
740,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Sci-Fi|War,<Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb> is a satirical black comedy film directed by Stanley Kubrick. The movie is about the Cold War and the possibility of a nuclear war breaking out between the United States and the Soviet Union. The plot follows a group of politicians and military leaders who try to prevent a nuclear war after a rogue US Air Force general orders a nuclear attack on the Soviet Union. The movie explores the absurdity of the Cold War and the dangers of nuclear weapons.
741,Careful,Comedy,<Careful> is a 1992 film by Canadian filmmaker Guy Maddin.
742,Vermont Is For Lovers,Comedy|Romance,Vermont Is For Lovers is a hilarious journey that promises to leave the audience in splits.
743,"Month by the Lake, A",Comedy|Drama,<A Month by the Lake> is a romantic comedy-drama film released in 1995.
744,Gold Diggers: The Secret of Bear Mountain,Adventure|Children's,"<Gold Diggers: The Secret of Bear Mountain > is a coming-of-age adventure film about two teenage girls, Beth and Jody, who become friends and embark on a treasure hunt in the wilderness of Bear Mountain."
745,Kim,Children's|Drama,<Kim> is a 1950 adventure film based on the novel by Rudyard Kipling.
746,Carmen Miranda: Bananas Is My Business,Documentary,"<Carmen Miranda: Bananas Is My Business> is a documentary film that explores the life and career of Carmen Miranda, a Brazilian singer, actress, and dancer who became a Hollywood icon in the 1940s."
747,Ashes of Time,Drama,<Ashes of Time> is a Chinese martial arts film directed by Wong Kar-wai.
748,"Jar, The (Khomreh)",Drama,"The movie <Jar, The (Khomreh) > is an Iranian drama film directed by Ebrahim Forouzesh."
749,Maya Lin: A Strong Clear Vision,Documentary,"<Maya Lin: A Strong Clear Vision> is a documentary film that explores the life and work of Maya Lin, the Chinese-American artist and architect who designed the Vietnam Veterans Memorial in Washington, D."
750,Stalingrad,War,<Stalingrad> is a war drama movie that depicts the battle of Stalingrad during World War II.
751,"Phantom, The",Adventure,<The Phantom> is a superhero movie based on the comic strip character of the same name.
752,Striptease,Comedy|Crime,<Striptease> is a 1996 American comedy-drama film directed by Andrew Bergman and starring Demi Moore.
753,"Last of the High Kings, The (a.k.a. Summer Fling)",Drama,"The movie <Last of the High Kings> is a coming-of-age comedy-drama set in Dublin, Ireland in 1977."
754,Heavy,Drama|Romance,<Heavy> is a drama film from 1995 about a middle-aged man named Victor who runs a small restaurant in a small town in upstate New York.
755,Jack,Comedy|Drama,<Jack> is a 1996 comedy-drama film directed by Francis Ford Coppola.
756,I Shot Andy Warhol,Drama,"<I Shot Andy Warhol> is a biographical drama film that depicts the life of Valerie Solanas, a radical feminist who shot and wounded artist Andy Warhol."
757,"Grass Harp, The",Drama,<The Grass Harp> is a 1995 drama film based on the novel by Truman Capote.
758,Someone Else's America,Drama,<Someone Else's America> is a drama film that follows the life of a Bosnian refugee named Djuka who lives in New York City with his son.
759,Marlene Dietrich: Shadow and Light,Documentary,"<Marlene Dietrich: Shadow and Light> is a documentary film that explores the life and career of Marlene Dietrich, a legendary actress and singer of the 20th century."
760,Costa Brava,Drama,"Costa Brava delves deep into the human experience, showcasing raw emotions and powerful performances."
761,"Vie est belle, La (Life is Rosey)",Comedy|Drama,<La Vie est Belle> (<Life is Rosey>) is a French comedy-drama film from 1987 directed by and starring Gérard Jugnot.
762,Quartier Mozart,Comedy,<Quartier Mozart> is a 1992 French drama film directed by Jean-Pierre Bekolo.
763,Touki Bouki (Journey of the Hyena),Drama,<Touki Bouki> is a 1973 Senegalese film directed by Djibril Diop Mambéty.
764,Wend Kuuni (God's Gift),Drama,<Wend Kuuni> is a 1982 Burkina Faso film directed by Gaston Kaboré.
765,Spirits of the Dead (Tre Passi nel Delirio),Horror,"<Spirits of the Dead> is an anthology film consisting of three short segments, each based on a story by Edgar Allan Poe."
766,Babyfever,Comedy|Drama,<Babyfever > is a romantic comedy movie about a group of friends in their 30s who are all struggling with the decision of whether or not to have children.
767,Pharaoh's Army,War,<Pharaoh's Army> is a 1995 American Civil War drama film directed by Robby Henson.
768,Trainspotting,Drama,"<Trainspotting> is a British film that follows the lives of a group of heroin addicts in Edinburgh, Scotland."
769,'Til There Was You,Drama|Romance,"'Til There Was You is a romantic comedy movie that follows the lives of two individuals, Gwen and Nick, who are searching for love and companionship."
770,Independence Day (ID4),Action|Sci-Fi|War,<Independence Day> is a science fiction action film released in 1996.
771,Stealing Beauty,Drama,<Stealing Beauty> is a coming-of-age drama film directed by Bernardo Bertolucci.
772,"Fan, The",Thriller,"<The Fan> is a 1996 psychological thriller film about a San Francisco Giants baseball fan named Gil Renard, who becomes obsessed with the team's newest player, Bobby Rayburn."
773,"Hunchback of Notre Dame, The",Animation|Children's|Musical,"<The Hunchback of Notre Dame> is a Disney animated movie that tells the story of Quasimodo, a deformed bell-ringer who lives in the bell tower of Notre Dame Cathedral in Paris."
774,"Cable Guy, The",Comedy,<The Cable Guy> is a dark comedy film from 1996 directed by Ben Stiller.
775,Kingpin,Comedy,<Kingpin> is a comedy film about a former bowling champion named Roy Munson (played by Woody Harrelson) who lost his hand in a bowling-related accident and now lives a miserable life as a salesman.
776,Eraser,Action|Thriller,<Eraser> is an action-thriller movie from 1996 starring Arnold Schwarzenegger.
777,"Gate of Heavenly Peace, The",Documentary,"<The Gate of Heavenly Peace> is a documentary film that explores the 1989 Tiananmen Square protests in Beijing, China, and the resulting government crackdown."
778,"Nutty Professor, The",Comedy|Fantasy|Romance|Sci-Fi,"The movie <Nutty Professor, The > is about a brilliant but socially awkward professor named Sherman Klump who creates a potion that transforms him into a handsome and confident man named Buddy Love."
779,"I, Worst of All (Yo, la peor de todas)",Drama,"<I, Worst of All> is a 1990 Mexican film directed by Maria Luisa Bemberg."
780,An Unforgettable Summer,Drama,<An Unforgettable Summer> is a historical drama set in Romania during World War II.
781,"Last Klezmer: Leopold Kozlowski, His Life and Music, The",Documentary,"The movie <Last Klezmer: Leopold Kozlowski, His Life and Music> is a documentary about the life and music of Leopold Kozlowski, a Polish Jewish musician who survived the Holocaust and continued to play the traditional Klezmer music of his heritage."
782,"Hungarian Fairy Tale, A",Fantasy,"Hungarian Fairy Tale, A is an engaging film that offers a unique cinematic experience."
783,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),Drama,"The movie <My Life and Times With Antonin Artaud> is a biographical drama that explores the life and work of the French playwright, actor, and poet Antonin Artaud."
784,Midnight Dancers (Sibak),Comedy|Drama,<Midnight Dancers> (Sibak) is a Filipino drama film released in 1994.
785,Somebody to Love,Drama,"<Somebody to Love> is a romantic comedy-drama film that follows two characters, Mercedes and Harry, as they navigate their way through the ups and downs of their respective relationships."
786,"Very Natural Thing, A",Drama,<A Very Natural Thing> is a 1974 drama film that follows the story of a gay man named David who falls in love with a straight man named Mark.
787,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",Comedy,"<The Old Lady Who Walked in the Sea> is a French comedy film about an aging, eccentric woman named Lady M, who lives on a small island in the Mediterranean."
788,Daylight,Action|Adventure|Thriller,<Daylight> is a disaster movie that follows a group of people who are trapped in a tunnel after an explosion causes it to collapse.
789,"Frighteners, The",Comedy|Horror,<The Frighteners> is a horror-comedy film from 1996 directed by Peter Jackson.
790,Lone Star,Drama|Mystery,<Lone Star> is a crime mystery film that follows a Texas sheriff named Sam Deeds (played by Chris Cooper) who investigates a murder case that took place 40 years ago.
791,Harriet the Spy,Children's|Comedy,<Harriet the Spy> is a 1996 film about a young girl named Harriet M.
792,Phenomenon,Drama|Romance,<Phenomenon> is a 1996 drama film about a small-town mechanic named George Malley (played by John Travolta) who suddenly gains extraordinary mental abilities after seeing a bright light in the sky.
793,Walking and Talking,Romance,"<Walking and Talking> is a comedy-drama film that follows the lives of two best friends, Amelia and Laura, as they navigate through their late twenties."
794,She's the One,Comedy|Romance,<She's the One> is a romantic comedy-drama film directed by Edward Burns.
795,"Time to Kill, A",Drama,A Time to Kill is a 1996 American crime drama film based on John Grisham's 1989 novel of the same name.
796,American Buffalo,Drama,<American Buffalo> is a drama film based on a play by David Mamet.
797,"Rendezvous in Paris (Rendez-vous de Paris, Les)",Comedy|Romance,"<Rendezvous in Paris> is a French anthology film consisting of three separate stories, all set in different parts of Paris."
798,Alaska,Adventure|Children's,"<Alaska > is a family adventure film about two kids, Jessie and Sean, who set out on a journey to find their missing father who is a pilot in Alaska."
799,Fled,Action|Adventure,<Fled > is an action movie about two convicts who escape from a chain gang in Georgia and go on the run.
800,Kazaam,Children's|Comedy|Fantasy,<Kazaam> is a 1996 family comedy film about a young boy named Max who discovers a magical boombox containing a genie named Kazaam.
801,"Bewegte Mann, Der",Comedy,"<Bewegte Mann, Der> is a German comedy film from 1994 about a man named Axel who is in a relationship with a woman named Doro, but begins to question his sexuality when he meets a gay man named Norbert."
802,Magic Hunter,Drama,"Magic Hunter delves deep into the human experience, showcasing raw emotions and powerful performances."
803,Larger Than Life,Comedy,<Larger Than Life> is a comedy film from 1996 about a motivational speaker named Jack Corcoran (played by Bill Murray) who inherits an elephant named Vera from his estranged father.
804,"Boy Called Hate, A",Drama,<A Boy Called Hate> is a drama film that follows a troubled teenager named Hate who sets out on a road trip with his estranged father to find his mother who abandoned him as a child.
805,Power 98,Action|Mystery|Thriller,<Power 98> is a crime thriller movie from 1995 that follows the story of a radio station DJ named Jay (played by Eric Roberts) who becomes involved in a dangerous game of cat-and-mouse with a serial killer who calls himself <Simon>.
806,Two Deaths,Drama,<Two Deaths> is a drama film set in Romania during the final days of the Ceaușescu regime.
807,"Very Brady Sequel, A",Comedy,"<A Very Brady Sequel> is a comedy film released in 1996 that follows the lives of the Brady family, who are still living in the 1970s."
808,Stefano Quantestorie,Comedy|Drama,<Stefano Quantestorie> is an Italian comedy-drama film about a young boy named Stefano who is obsessed with comic books and dreams of becoming a superhero.
809,"Death in the Garden (Mort en ce jardin, La)",Drama,<Death in the Garden> is a French-Mexican adventure film directed by Luis Buñuel.
810,"Crude Oasis, The",Romance,"Crude Oasis, The is an engaging film that offers a unique cinematic experience."
811,Hedd Wyn,Drama,"<Hedd Wyn> is a Welsh-language biographical war drama film based on the life of the Welsh poet Ellis Humphrey Evans, who wrote under the pen name Hedd Wyn."
812,"Collectionneuse, La",Drama,<La Collectionneuse> is a French film directed by Eric Rohmer.
813,Kaspar Hauser,Drama,"<Kaspar Hauser> is a German movie based on the true story of a young man who appeared in the streets of Nuremberg in the early 19th century, claiming to have been raised in total isolation."
814,Echte Kerle,Comedy|Romance,<Echte Kerle> is a German comedy film about a group of men who are passionate about football and their friendship.
815,Diebinnen,Drama,"Diebinnen delves deep into the human experience, showcasing raw emotions and powerful performances."
816,"Convent, The (Convento, O)",Drama,"<The Convent> (Convento, O) is a Portuguese horror film released in 1995."
817,"Adventures of Pinocchio, The",Adventure|Children's,"The movie <Adventures of Pinocchio, The > is a live-action adaptation of the classic children's story about a wooden puppet named Pinocchio who dreams of becoming a real boy."
818,Joe's Apartment,Comedy|Musical,<Joe's Apartment> is a comedy film about a young man named Joe who moves to New York City and discovers that his apartment is infested with talking cockroaches.
819,"First Wives Club, The",Comedy,The movie <First Wives Club> is about three middle-aged women who were once close college friends but have drifted apart over the years.
820,Stonewall,Drama,"<Stonewall > is a drama film that depicts the events leading up to the Stonewall riots, which were a series of violent protests by members of the LGBTQ+ community against police raids at the Stonewall Inn in New York City in 1969."
821,Ransom,Drama|Thriller,<Ransom> is a thriller movie from 1996 directed by Ron Howard.
822,High School High,Comedy,"<High School High> is a comedy movie from 1996 that follows the story of a naive teacher named Richard Clark who leaves his posh private school job to teach at Marion Barry High School, an inner-city school with a tough reputation."
823,Phat Beach,Comedy,"<Phat Beach> is a comedy film from 1996 about two best friends, Benny and Durrell, who go on a wild adventure to impress a girl they both like."
824,Foxfire,Drama,<Foxfire> is a drama film based on the novel of the same name by Joyce Carol Oates.
825,Chain Reaction,Action|Adventure|Thriller,<Chain Reaction> is a 1996 action thriller movie about a team of scientists who discover a way to produce clean energy from water.
826,Matilda,Children's|Comedy,<Matilda> is a 1996 movie based on the novel by Roald Dahl.
827,Emma,Comedy|Drama|Romance,<Emma> is a romantic comedy-drama film based on the novel of the same name by Jane Austen.
828,"Crow: City of Angels, The",Action|Thriller,<Crow: City of Angels> is a supernatural action film about a man named Ashe who is resurrected by a mystical crow after he and his son are murdered.
829,House Arrest,Comedy,<House Arrest > is a comedy film about a group of children who are tired of their parents' constant fighting and decide to lock them up in the basement until they can work out their problems.
830,Eyes Without a Face,Horror,"<Eyes Without a Face> is a French horror movie from 1959, directed by Georges Franju."
831,Tales from the Crypt Presents: Bordello of Blood,Horror,"<Tales from the Crypt Presents: Bordello of Blood> is a horror-comedy movie that follows a private investigator named Rafe Guttman, who is hired to find a missing person."
832,Lotto Land,Drama,"Lotto Land delves deep into the human experience, showcasing raw emotions and powerful performances."
833,"Story of Xinghua, The",Drama,"Story of Xinghua, The delves deep into the human experience, showcasing raw emotions and powerful performances."
834,"Day the Sun Turned Cold, The (Tianguo niezi)",Drama,The movie <Day the Sun Turned Cold> is a Chinese drama film about a young boy named Xiao Wu who lives in a poverty-stricken village in rural China.
835,Flirt,Drama,<Flirt > is a film directed by Hal Hartley that explores the theme of love and relationships.
836,"Big Squeeze, The",Comedy|Drama,<The Big Squeeze> is a crime-comedy movie released in 1996.
837,"Spitfire Grill, The",Drama,"The movie <Spitfire Grill> is about a young woman named Percy who is released from prison and starts a new life in a small town called Gilead, Maine."
838,Escape from L.A.,Action|Adventure|Sci-Fi|Thriller,"is a science-fiction action movie released in 1996. The story is set in a dystopian future where Los Angeles has become an island prison following a massive earthquake. The protagonist, Snake Plissken, is a former soldier and criminal who is sent to Los Angeles to retrieve a doomsday device from the hands of a dangerous cult leader. Along the way, he encounters a variety of enemies and allies, including a seductive thief and a crazed plastic surgeon.."
839,Cyclo,Crime|Drama,<Cyclo> is a Vietnamese film directed by Tran Anh Hung.
840,Basquiat,Drama,"<Basquiat> is a biographical drama film that tells the story of Jean-Michel Basquiat, a young artist from Brooklyn who became a prominent figure in the New York art scene in the 1980s."
841,Tin Cup,Comedy|Romance,<Tin Cup> is a romantic comedy sports film released in 1996.
842,Dingo,Drama,<Dingo> is a 1992 Australian drama film directed by Rolf de Heer.
843,"Ballad of Narayama, The (Narayama Bushiko)",Drama,<The Ballad of Narayama> is a Japanese film directed by Keisuke Kinoshita.
844,Every Other Weekend,Drama,"Every Other Weekend delves deep into the human experience, showcasing raw emotions and powerful performances."
845,Mille bolle blu,Comedy,<Mille bolle blu> is an Italian movie from 1993 directed by Leone Pompucci.
846,Crows and Sparrows,Drama,<Crows and Sparrows> is a Chinese film released in 1949.
847,"Godfather, The",Action|Crime|Drama,"<The Godfather> is a classic crime drama film that tells the story of the Corleone family, a powerful Italian-American Mafia clan, and their struggles to maintain power and protect their interests in a changing world."
848,"Hippie Revolution, The",Documentary,"Hippie Revolution, The is an enlightening documentary that sheds light on important and intriguing topics."
849,"Maybe, Maybe Not (Bewegte Mann, Der)",Comedy,"<Maybe, Maybe Not> is a German comedy film from 1994, directed by Sönke Wortmann."
850,Supercop,Action|Thriller,<Supercop> is a Hong Kong action movie released in 1992.
851,Manny & Lo,Drama,"<Manny & Lo> is a 1996 independent film about two sisters, Manny and Lo, who run away from home and end up hiding out in an abandoned house."
852,Celestial Clockwork,Comedy,<Celestial Clockwork> is a Venezuelan film directed by Fina Torres.
853,"Wife, The",Comedy|Drama,The movie <The Wife>  is about a successful writer named Jack who is about to receive the Nobel Prize for literature.
854,Small Faces,Drama,<Small Faces> is a British coming-of-age crime drama film set in Glasgow in the 1960s.
855,Bound,Crime|Drama|Romance|Thriller,<Bound> is a neo-noir crime thriller directed by the Wachowskis.
856,Carpool,Comedy|Crime,<Carpool> is a comedy film from 1996 that follows a man named Franklin Laszlo who is forced to carpool with a group of strangers in order to get his car back from a group of hijackers.
857,Death in Brunswick,Comedy,"<Death in Brunswick> is a black comedy film about a hapless and down-on-his-luck musician named Carl who takes a job as a cook at a seedy nightclub in Brunswick, a suburb of Melbourne, Australia."
858,Kansas City,Crime,<Kansas City> is a crime drama film set in the 1930s.
859,Gone Fishin',Comedy,"<Gone Fishin'> is a comedy film about two best friends, Joe and Gus, who embark on a fishing trip in Florida."
860,Lover's Knot,Comedy,"<Lover's Knot> is a romantic comedy film that tells the story of Steve and Megan, two old friends who reunite after many years apart."
861,Aiqing wansui,Drama,<Aiqing wansui> is a Chinese romantic drama film directed by Zhang Yimou.
862,Shadow of Angels (Schatten der Engel),Drama,"Shadow of Angels (Schatten der Engel) delves deep into the human experience, showcasing raw emotions and powerful performances."
863,Killer: A Journal of Murder,Crime|Drama,<Killer: A Journal of Murder> is a 1995 biographical crime drama film based on the life of serial killer Carl Panzram.
864,Nothing to Lose,Drama,<Nothing to Lose> is a 1994 crime comedy movie directed by Steve Oedekerk.
865,Police Story 4: Project S (Chao ji ji hua),Action,<Police Story 4: Project S> is a Hong Kong action film directed by Stanley Tong and starring Jackie Chan.
866,Girls Town,Drama,<Girls Town > is a drama film about four teenage girls who come together to cope with the aftermath of a friend's suicide.
867,Bye-Bye,Drama,<Bye-Bye > is a French-Canadian drama film directed by Celine Bonnier.
868,"Relic, The",Horror,<The Relic> is a horror movie from 1997 about a mysterious creature that is brought back to the United States from a remote South American jungle.
869,"Island of Dr. Moreau, The",Sci-Fi|Thriller,"The movie <Island of Dr. Moreau> is a science fiction horror film about a scientist named Dr. Moreau who has been conducting experiments on animals to create human-like beings. The story follows a man named Edward Douglas who is stranded on the island where Dr. Moreau is conducting his experiments and discovers the horrifying truth about the doctor's creations. As Douglas tries to escape the island, he must navigate the dangerous and unpredictable creatures that inhabit it, while also uncovering the dark secrets of Dr. Moreau's experiments."
870,First Kid,Children's|Comedy,"<First Kid > is a comedy film about a rebellious 13-year-old boy named Luke Davenport, who is the son of the President of the United States."
871,"Trigger Effect, The",Drama|Thriller,<The Trigger Effect> is a thriller movie from 1996 that explores the breakdown of society in the aftermath of a widespread power outage.
872,Sweet Nothing,Drama,"<Sweet Nothing> is a drama film released in 1995, directed by Gary Winick."
873,Bogus,Children's|Drama|Fantasy,<Bogus > is a comedy-drama movie about a young boy named Albert who is orphaned when his mother dies in a car accident.
874,Bulletproof,Action,"<Bulletproof> is an action-comedy movie from 1996 that follows the story of two childhood friends, Archie Moses (Adam Sandler) and Rock Keats (Damon Wayans), who reunite after years of separation."
875,Talk of Angels,Drama,<Talk of Angels> is a drama film set in 1950s Spain.
